,Unnamed: 0,Geographic Area,City,Median Income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic
21093,21093,OR,Garibaldi,36429,90.2,18,94.7,0.1,0.8,0.9,3.5
21094,21094,OR,Gaston,53654,77.9,5.5,91.2,0.3,1.4,0.6,11
21095,21095,OR,Gates,36875,86.7,19.2,92.4,0.2,1.7,0.8,4.5
21096,21096,OR,Gearhart,49125,95,19.7,94.6,0.3,0.4,0.8,4
21097,21097,OR,Gervais,51339,74,18.5,52.4,0.6,3.7,0.9,67.1
21098,21098,OR,Gladstone,55848,89,11.6,89.2,0.9,1,1.6,8.7
21099,21099,OR,Glasgow,36012,95.7,4.7,92.8,0.1,1.6,1.6,3.7
21100,21100,OR,Glendale,34306,79,28.8,89.8,0.3,1.4,0.1,9.4
21101,21101,OR,Glide,50859,94.8,20.7,94.8,0.3,1.7,0.3,3.1
21102,21102,OR,Gold Beach,48065,88.3,19.8,91.5,0.3,2,0.8,4.9
21103,21103,OR,Gold Hill,39688,93.1,16.1,93.5,0.2,1.6,0.5,2.7
21104,21104,OR,Gopher Flats,39219,88.2,32.1,82.1,0.3,13.2,0,1.1
21105,21105,OR,Government Camp,(X),100,0,94.8,0,1,0.5,5.7
21106,21106,OR,Grand Ronde,44271,82.9,8.7,57.6,0.1,28.4,0.4,6.7
21107,21107,OR,Granite,(X),91.3,52.2,94.7,0,5.3,0,5.3
21108,21108,OR,Grants Pass,34224,89.2,21.2,90.9,0.5,1.2,1.1,8.5
21109,21109,OR,Grass Valley,37500,96.9,27.8,97,0,0.6,0,3
21110,21110,OR,Green,41572,89.5,17,93.3,0.2,1.8,0.8,5.8
21111,21111,OR,Greenhorn,-,100,0,(X),(X),(X),(X),(X)
21112,21112,OR,Gresham,46956,84.2,21.3,76,3.5,1.3,4.3,18.9
21113,21113,OR,Haines,39375,87.9,22.7,94.5,0,1.2,0,1.4
21114,21114,OR,Halfway,23833,87.7,31.1,94.1,0,1.7,0.7,3.5
21115,21115,OR,Halsey,51958,93.5,9.4,94.4,0.3,0.6,0.6,4.9
21116,21116,OR,Happy Valley,101250,96.6,4.5,76.2,1.1,0.5,17.4,4
21117,21117,OR,Harbor,26607,82.8,28.6,92.9,0.3,2.4,0.5,4.7
21118,21118,OR,Harper,31875,94,13.1,84.4,0,0,0,16.5
21119,21119,OR,Harrisburg,48125,92.9,21.4,91.3,0.5,1,0.3,8
21120,21120,OR,Hayesville,40632,77.1,22,65.9,1.2,1.8,2.9,39.8
21121,21121,OR,Hebo,27450,92.4,0,86.2,0,2.6,6,13.4
21122,21122,OR,Helix,46607,98.4,8.8,81,0,8.7,0,6
21123,21123,OR,Heppner,40313,88.4,21.5,92.5,0.2,1.2,0.3,3.7
21124,21124,OR,Hermiston,46141,77.9,21.9,74.2,0.8,1.3,1.5,34.9
21125,21125,OR,Hillsboro,67757,88,13.6,73.3,2,1,8.6,22.6
21126,21126,OR,Hines,38587,88.8,17,94.9,0.3,1,0.4,3.1
21127,21127,OR,Holley,47083,89.7,22.5,94.4,0.3,0.5,0,3.2
21128,21128,OR,Hood River,47310,85.6,19.1,86.9,0.5,0.6,1.5,24.4
21129,21129,OR,Hubbard,53992,72.4,20.2,73.3,0.5,2.3,0.9,36.3
21130,21130,OR,Huntington,34219,71.8,20.4,92.3,0.2,3.9,0.7,1.8
21131,21131,OR,Idanha,29464,81.8,25.3,96.3,0,0,0,5.2
21132,21132,OR,Idaville,25781,86.4,17.2,92.3,0,1.2,1.5,8
21133,21133,OR,Imbler,46875,93.4,12.7,93.8,0,1,0,2.6
21134,21134,OR,Independence,44454,83.2,24.8,73.3,0.4,1.8,1.2,35.3
21135,21135,OR,Ione,51029,93.3,7.5,86.6,0,0.9,0.6,11.9
21136,21136,OR,Irrigon,51054,79.5,15.8,76.2,0.4,1.4,0.6,32
21137,21137,OR,Island City,53750,93.6,19.2,94.7,0.1,0.6,0.5,3.4
21138,21138,OR,Jacksonville,46901,96.6,4.3,95.6,0.4,0.6,0.9,2.9
21139,21139,OR,Jeffers Gardens,41875,96.8,13.7,90.2,0.8,1.4,0,9
21140,21140,OR,Jefferson,47849,87.6,24.5,83.8,0.2,1.7,0.5,19.2
21141,21141,OR,Jennings Lodge,52457,92,15.8,87.5,1.6,0.8,1.8,11.1
21142,21142,OR,John Day,33276,88.4,14.3,94.4,0.5,1.5,0.7,2.7
21143,21143,OR,Johnson City,31875,88,16.3,84.3,0.4,1.4,1.9,15.4
21144,21144,OR,Jordan Valley,33333,92.9,8.5,95,0,3.3,0,6.6
21145,21145,OR,Joseph,37216,94.3,24.2,94.7,0.7,0.9,0.4,2
21146,21146,OR,Junction City,42153,84.9,22.8,90.4,0.7,1.3,0.6,9
21147,21147,OR,Juntura,(X),85.7,18.9,63.2,0,3.5,0,31.6
21148,21148,OR,Keizer,51244,88.7,15.8,82.5,0.8,1.3,1.6,18.3
21149,21149,OR,Kerby,17917,82.8,41.8,88.6,0.7,2.5,0.2,4.9
21150,21150,OR,King City,45283,96.7,7.7,89,1.8,0.4,5.2,4.5
21151,21151,OR,Kings Valley,14324,48.6,19.4,87.7,0,0,1.5,6.2
21152,21152,OR,Kirkpatrick,74688,96.9,11,46.4,0,45.3,0.6,1.1
21153,21153,OR,Klamath Falls,35690,86.5,25,83.4,1,4.3,1.6,11.8
21154,21154,OR,Labish Village,45714,37.8,0,40.8,0.2,1.2,0,67
21155,21155,OR,Lacomb,41359,87.2,8,91.6,0,3.3,0,3.8
21156,21156,OR,Lafayette,56629,77.5,14.6,84.6,0.3,0.9,0.7,22
21157,21157,OR,La Grande,39135,93.3,22.5,91.3,0.8,1.4,1.1,4.6
21158,21158,OR,Lake Oswego,85303,98.4,7.3,89.3,0.7,0.4,5.6,3.7
21159,21159,OR,Lakeside,37413,88.1,19.1,94.4,0.3,1.5,0.2,3.2
21160,21160,OR,Lakeview,35672,86.1,22,91.3,0,1.6,0.8,7.8
21161,21161,OR,Langlois,(X),73,53.7,97.2,0,0.6,1.1,3.4
21162,21162,OR,La Pine,30842,86.3,23,93.5,0.2,1.1,0.2,5.8
21163,21163,OR,Lebanon,40530,91.6,19.9,91.2,0.5,1.4,1.1,5.8
21164,21164,OR,Lexington,45500,89,0.6,92.4,0,0,0.4,1.3
21165,21165,OR,Lincoln Beach,41130,84,13.1,92.7,0.3,1.2,1.2,4.2
21166,21166,OR,Lincoln City,37894,86,20.9,83.7,0.4,3.5,1.5,13.2
21167,21167,OR,Lonerock,14464,61.1,27.8,100,0,0,0,0
21168,21168,OR,Long Creek,43438,89.4,22,94.4,0,1.5,0,5.6
21169,21169,OR,Lookingglass,44408,97.5,0,95.4,0.5,1.3,0.4,3.7
21170,21170,OR,Lostine,46250,94.1,13.9,93,0,2.3,3.3,1.9
21171,21171,OR,Lowell,53438,88.1,14.8,90.9,0,1.7,0.7,3.5
21172,21172,OR,Lyons,60417,87.8,11.4,91.4,0.4,1.5,1.1,4.5
21173,21173,OR,McMinnville,45588,85.2,21.2,82.2,0.7,1.2,1.5,20.6
21174,21174,OR,Madras,37732,75.9,24.3,66.4,0.7,6.9,0.8,38.5
21175,21175,OR,Malin,35375,53.3,22.7,70.6,0,1.1,0,57.8
21176,21176,OR,Manzanita,51429,96.9,16,91.6,1.2,0.2,1.8,6.2
21177,21177,OR,Marion,(X),60.7,0,92.3,0.3,1,1,5.8
21178,21178,OR,Maupin,41786,90.5,12,95.7,0,0.7,0.2,1.2
21179,21179,OR,Maywood Park,80625,96.4,4.5,85.5,3.5,0.4,5.9,4
21180,21180,OR,Medford,41931,86.4,23,86,0.9,1.2,1.5,13.8
21181,21181,OR,Mehama,62344,88,11.7,93.5,0,2.4,0.3,5.1
21182,21182,OR,Melrose,44250,81.5,18.4,95,0.1,0.3,1.1,3.9
21183,21183,OR,Merlin,51292,96.3,16.9,93.3,0.1,1.6,0.4,5.2
21184,21184,OR,Merrill,39821,67.5,26.7,70.9,0.1,1.5,0,43.1
21185,21185,OR,Metolius,38750,70.5,23.5,75.6,1,3.8,0.6,23.7
21186,21186,OR,Metzger,46314,92,15.5,80.1,2.8,0.8,3.1,13.7
21187,21187,OR,Mill City,38689,79.8,20,90.7,0.4,1.9,0.4,9.2
21188,21188,OR,Millersburg,72778,87.7,17.5,91.9,0.1,1.1,1.4,6.6
21189,21189,OR,Milton-Freewater,35076,70.6,33.7,70.9,0.6,0.8,0.6,43.1
21190,21190,OR,Milwaukie,52011,94.3,12.9,88.5,1.3,1.3,2.5,7
21191,21191,OR,Mission,27750,83.9,29.9,16.1,1.1,74.8,0,7.5
21192,21192,OR,Mitchell,24688,76.7,27,92.3,0,0.8,0,1.5
21193,21193,OR,Molalla,55534,87.2,8.7,86.9,0.6,1,0.8,14.5
21194,21194,OR,Monmouth,32027,92.6,32.3,82.8,1.1,1.5,3.3,13.4
21195,21195,OR,Monroe,32917,85,12,89,0.2,1.3,0.2,16.2
21196,21196,OR,Monument,20208,86.4,24.7,94.5,0,0.8,0,3.9
21197,21197,OR,Moro,30417,89.8,23.6,92.6,0,3.1,0,4
21198,21198,OR,Mosier,42500,87.8,11.6,90.1,0.2,2.3,1.2,22.4
21199,21199,OR,Mount Angel,42778,85.5,10.3,82.6,0.5,1,0.5,26.1
21200,21200,OR,Mount Hood,63542,100,0,74.5,0,0.7,0,30.4
21201,21201,OR,Mount Hood Village,63348,94.1,7.6,93,0.1,1.3,0.7,5.6
21202,21202,OR,Mount Vernon,29583,82.2,27.5,95.4,0,0.2,0.2,3
21203,21203,OR,Mulino,80081,91.5,7.2,95.8,0.2,1,0.4,2.8
21204,21204,OR,Myrtle Creek,39350,82.2,34.1,90.7,0.3,2.1,0.8,4.3
21205,21205,OR,Myrtle Point,36935,84.4,16.8,89.9,0.4,3.5,0.2,4.6
21206,21206,OR,Neahkahnie,(X),86.3,15,94.3,0,0,2.1,3.6
21207,21207,OR,Nehalem,43500,92.3,2.8,93,0,0.4,1.1,5.9
21208,21208,OR,Nesika Beach,57277,91.9,8.4,94.8,0.2,0.6,0.9,3.2
21209,21209,OR,Neskowin,39559,100,9.6,95.5,0,0,1.5,2.2
21210,21210,OR,Netarts,62045,94.6,9.1,95.3,0,1.1,0,4.1
21211,21211,OR,Newberg,50039,87.5,20.5,85.9,0.8,0.8,2.2,13.5
21212,21212,OR,New Hope,54115,93.8,9.1,95.2,0.1,1.1,1,4.9
21213,21213,OR,New Pine Creek,36842,74.5,31.8,83.3,0,5,0,9.2
21214,21214,OR,Newport,37452,90.2,18.8,84.1,0.6,2.1,1.6,15.3
21215,21215,OR,North Bend,43586,93.2,13.2,89.3,0.3,2.3,1.7,5.8
21216,21216,OR,North Plains,72212,91.8,0.5,89,0.4,1.2,1.8,11
21217,21217,OR,North Powder,27500,80.1,46.9,92.5,0.5,1.6,0.5,8.9
21218,21218,OR,Nyssa,40586,70.2,29.6,63.1,0.3,0.7,1.3,60.5
21219,21219,OR,Oak Grove,56268,90,9.9,89.7,1,0.8,1.7,8.4
21220,21220,OR,Oak Hills,79333,94,7.5,71.4,1.5,0.3,19.3,6.9
21221,21221,OR,Oakland,38077,83.3,12.2,94.2,0.1,1.4,0.3,3
21222,21222,OR,Oakridge,39947,84.1,21.4,90.7,1,1.8,0.6,5.4
21223,21223,OR,Oatfield,69744,94.4,9.2,89.5,0.8,0.9,3.2,6.5
21224,21224,OR,O'Brien,(X),100,50.9,92.7,1,3.6,0.6,5.8
21225,21225,OR,Oceanside,59792,100,19.2,94.2,0.3,0.3,0.6,5.3
21226,21226,OR,Odell,57198,67.4,5.5,73.5,0.5,1.2,0.4,63.5
21227,21227,OR,Ontario,27760,76.8,35.1,69.5,0.7,1.3,2.2,41.3
21228,21228,OR,Oregon City,62858,92.6,11.6,91.1,0.6,0.9,1.7,7.3
21229,21229,OR,Pacific City,25230,84.9,31.6,91.9,0.4,1.3,0.7,6
21230,21230,OR,Paisley,37404,89.9,8.7,93.8,2.1,1.2,0.8,1.6
21231,21231,OR,Parkdale,72900,61,0,64.3,0,5.1,1.9,42.1
21232,21232,OR,Pendleton,46772,90.8,15.1,87.3,1.4,3.2,1.1,9.7
21233,21233,OR,Peoria,(X),100,10.8,93.6,0,5.3,0,1.1
21234,21234,OR,Philomath,49333,93.8,19.3,91.1,0.7,1.2,1,6.7
21235,21235,OR,Phoenix,32035,89.1,25.8,84,0.9,1.5,1.3,15.8
21236,21236,OR,Pilot Rock,38550,90.4,14.8,93.5,0,1.7,0,3.2
21237,21237,OR,Pine Grove,32750,82,9,100,0,0,0,0
21238,21238,OR,Pine Hollow,37300,89.7,18.6,96.2,0,0.8,0.2,2.8
21239,21239,OR,Pistol River,-,100,0,98.8,0,0,0,0
21240,21240,OR,Plush,34000,87.8,4.4,89.5,0,7,0,10.5
21241,21241,OR,Portland,55003,91.3,18,76.1,6.3,1,7.1,9.4
21242,21242,OR,Port Orford,30296,88.3,36.1,93.3,0.6,1.4,0.5,4.3
21243,21243,OR,Powers,25156,85.7,35.1,85.1,0,4.1,0.3,4.4
21244,21244,OR,Prairie City,30625,92.4,17.8,94.6,0.1,1.3,0.1,3.1
21245,21245,OR,Prescott,125313,91.7,3.7,85.5,1.8,3.6,0,0
21246,21246,OR,Prineville,30291,86.2,28.7,90.4,0.2,1.5,0.7,10.1
21247,21247,OR,Pronghorn,(X),100,22.6,100,0,0,0,0
21248,21248,OR,Prospect,31042,93.4,28.5,89.7,0,3.7,0.2,3.7
21249,21249,OR,Rainier,49205,92.7,19.8,93.1,0.2,1.3,0.2,4
21250,21250,OR,Raleigh Hills,70196,98,3.6,87.4,1.2,0.3,3.4,6.7
21251,21251,OR,Redmond,40154,89.6,24.7,89,0.4,1.3,0.8,12.5
21252,21252,OR,Redwood,39120,90.9,13.9,95,0.4,0.6,0.7,4.3
21253,21253,OR,Reedsport,31935,84.7,28.1,93,0.3,1.1,1.1,4.9
21254,21254,OR,Richland,28750,88.1,13.3,94.9,1.3,1.3,0,0
21255,21255,OR,Rickreall,-,-,0,93.5,0,3.9,0,2.6
21256,21256,OR,Riddle,40208,86.3,28.7,89.7,0.3,3,0.5,5.1
21257,21257,OR,Rivergrove,105417,99.2,3.1,94.1,0,0,3.1,2.4
21258,21258,OR,Riverside,68958,89.9,4.1,77.9,0,13.6,1.5,3.5
21259,21259,OR,Rockaway Beach,37227,93,20,94.4,0.4,0.7,0.7,2.9
21260,21260,OR,Rockcreek,76331,96,5.5,81.5,1.4,0.6,8.4,7.3
21261,21261,OR,Rogue River,26753,88.1,25.2,93.3,0.8,1.2,0.4,5.3
21262,21262,OR,Roseburg,39670,90.9,20.3,91,0.5,1.7,1.6,5.5
21263,21263,OR,Roseburg North,34147,89.1,20.6,92.4,0.4,1.4,1.1,5.8
21264,21264,OR,Rose Lodge,41840,77.2,14.1,90.4,0.4,3.6,0.3,5.8
21265,21265,OR,Rowena,(X),64.8,19.3,97.9,0,0.5,0.5,8
21266,21266,OR,Ruch,65817,97.5,5.5,94.8,0.1,0.6,0.6,6.3
21267,21267,OR,Rufus,27813,83.3,29.8,89.2,0,5.2,0,13.3
21268,21268,OR,St. Helens,45225,86.9,20,90.3,0.6,1.6,1.3,6.1
21269,21269,OR,St. Paul,70625,92.1,6.8,94.1,0,0.5,0,14.7
21270,21270,OR,Salem,47191,86.9,18.2,79,1.5,1.5,2.7,20.3
21271,21271,OR,Sandy,60908,93.2,10.7,90,0.4,1.3,1.2,9.2
21272,21272,OR,Scappoose,61444,92.2,12.5,91.2,0.4,1.2,1.3,5.1
21273,21273,OR,Scio,49531,89.6,16.2,91.4,0.4,1.8,0.6,3.1
21274,21274,OR,Scotts Mills,66389,86.3,12.6,97.5,0,0.3,1.4,2.2
21275,21275,OR,Seaside,37887,87.6,19.3,88.1,0.6,0.8,1.4,12.4
21276,21276,OR,Selma,34321,79.2,16.4,92.2,0,3,0.3,7.2
21277,21277,OR,Seneca,33125,77.4,11.7,99,0.5,0,0,1
21278,21278,OR,Seventh Mountain,81250,100,9.4,92.5,2.1,0,2.1,3.7
21279,21279,OR,Shady Cove,31058,88.1,23.5,95.5,0.3,0.7,0.3,4.7
21280,21280,OR,Shaniko,-,33.3,0,75,0,0,8.3,8.3
21281,21281,OR,Shedd,-,86.9,23,92.2,1.5,1,0,6.4
21282,21282,OR,Sheridan,37166,84.2,19.4,74.9,5.5,4.8,2.1,16.6
21283,21283,OR,Sherwood,80107,95.8,5.9,88.5,0.8,0.5,3.5,7
21284,21284,OR,Siletz,37083,83.8,24.5,69.7,0.4,18.4,0.4,5
21285,21285,OR,Silver Lake,54643,100,0,96.6,0,0.7,0,2
21286,21286,OR,Silverton,57483,93,15.1,89,0.3,0.8,1,12.3
21287,21287,OR,Sisters,50324,91.7,15.4,93.9,0,1.1,0.7,7.1
21288,21288,OR,Sodaville,50938,89.5,9.9,89.3,0.6,1.6,1,1.9
21289,21289,OR,South Lebanon,44741,93.1,19,94.3,0.2,1.1,0.4,3.6
21290,21290,OR,Spray,33500,89.4,19.2,95,0,0.6,2.5,0.6
21291,21291,OR,Springfield,39729,86.2,21.5,85.9,1.1,1.4,1.3,12.1
21292,21292,OR,Stafford,127396,93.8,8,93.5,0.4,0.1,2,3.7
21293,21293,OR,Stanfield,51016,81.7,12.3,66.9,0.1,1.6,0.1,35.9
21294,21294,OR,Stayton,43636,80.8,21,87.7,0.5,1.4,0.7,14.3
21295,21295,OR,Sublimity,51343,94.3,10,95.8,0.2,0.5,0.4,3.1
21296,21296,OR,Summerville,38750,96.4,0,97,0,0,0,2.2
21297,21297,OR,Summit,(X),90.8,16.3,95.1,0,0,0,11
21298,21298,OR,Sumpter,19750,94.5,25.7,92.2,0,2.5,0.5,1
21299,21299,OR,Sunriver,48506,98.6,8.6,96.9,0.6,0.3,0.5,1.6
21300,21300,OR,Sutherlin,33859,84.7,24.2,92.4,0.2,1.9,0.6,6.1
21301,21301,OR,Sweet Home,35076,88.9,23.8,93.3,0.3,1.3,0.8,4.7
21302,21302,OR,Takilma,(X),100,5.6,90.5,1.6,2.4,0.5,0.5
21303,21303,OR,Talent,36528,90.4,20.6,87,0.8,1.3,0.9,15.6
21304,21304,OR,Tangent,44643,87.2,15.2,89.4,0.2,0.8,0.3,8.4
21305,21305,OR,Terrebonne,57463,91.7,15.1,90.4,0.4,1.5,0.4,8.8
21306,21306,OR,Tetherow,(X),100,0,86.7,0,0,0,2.2
21307,21307,OR,The Dalles,41311,84.2,15.4,87.9,0.5,1.5,1,17
21308,21308,OR,Three Rivers,43114,90.8,19.1,95.4,0.2,0.9,0.4,3.9
21309,21309,OR,Tigard,62048,91.9,11.6,79.6,1.8,0.7,7.2,12.7
21310,21310,OR,Tillamook,29889,86.3,31.6,86.5,0.2,1.5,1.1,17.2
21311,21311,OR,Toledo,47188,79.9,19.2,89.9,0.6,3.8,0.5,4.7
